ReportGeneratedAt,AIEnabled,AIProvider,AIModel,CitationCount
"2026-04-10T03:30:43.598Z","Yes","gemini","Gemini 2.5 Flash","99"

Key,Status,Issues,Warnings
"ansari100_090","suspicious","","No DOI found and not in OpenAlex"
"ansari100_091","suspicious","","No DOI found and not in OpenAlex"
"ansari100_092","suspicious","","No DOI found and not in OpenAlex"
"ansari100_093","suspicious","","No DOI found and not in OpenAlex"
"ansari100_094","suspicious","","Suspiciously short author; No DOI found and not in OpenAlex"
"ansari100_095","suspicious","","Suspiciously short author; No DOI found and not in OpenAlex"
"ansari100_096","suspicious","","Generic author name pattern; No DOI found and not in OpenAlex"
"ansari100_097","suspicious","","No DOI found and not in OpenAlex"
"ansari100_098","suspicious","","No DOI found and not in OpenAlex"
"ansari100_099","suspicious","","No DOI found and not in OpenAlex"
"ansari100_100","suspicious","","No DOI found and not in OpenAlex"
